player.id,player.name,minutes,position.id,position.name,League,Top.League
26301,Ernesto Alexis Vega Rojas,47.04548333,13,Right Center Midfield,Liga MX,NA
27889,César Saúl Huerta Valera,93.66861667,12,Right Midfield,Liga MX,NA
206048,Karoy Anderson,39.65168333,11,Left Defensive Midfield,League One,NA
28949,Boris Cespedes,159.5621667,9,Right Defensive Midfield,Switzerland Super League,NA
398462,Adalid Terrazas Abasto,43.75235,15,Left Center Midfield,Bolivia Divisi�n Profesional,NA
12758,Alejandro Romero Gamarra,43.45316667,19,Center Attacking Midfield,UAE Pro League,NA
6574,Douglas Luiz Soares de Paulo,50.80778333,11,Left Defensive Midfield,Premier League,NA
6846,Andreas Hoelgebaum Pereira,84.79666667,16,Left Midfield,Premier League,NA
132257,Josimar Alcócer,95.30213333,20,Left Attacking Midfield,Belgium First Divission,NA
28268,Exequiel Alejandro Palacios,111.8427833,15,Left Center Midfield,Bundesliga,NA
35205,Jesús Abdallah Castillo Molina,49.14196667,10,Center Defensive Midfield,Liga Portugal,NA
37700,José Daniel Rivera Martínez,38.56631667,19,Center Attacking Midfield,Peru Liga 1,NA
45377,Franco Zanelatto Téllez,31.47258333,15,Left Center Midfield,Peru Liga 1,NA
190172,Telasco José Segovia Pérez,74.43711667,13,Right Center Midfield,Liga Portugal,NA
18639,Mathieu Choiniere,127.6342833,11,Left Defensive Midfield,Major League Soccer,NA
