player.id,player.name,minutes,position.id,position.name,League,Top.League
22212,Orkun Kökçü,239.234,19,Center Attacking Midfield,Liga Portugal,NA
9927,Rúben Diogo Da Silva Neves,147.3823167,11,Left Defensive Midfield,Saudi Pro League,NA
29989,Yusuf Yazıcı,69.61636667,19,Center Attacking Midfield,Ligue 1,NA
78241,İsmail Yüksek,161.5879833,11,Left Defensive Midfield,Super Lig,NA
116587,Arda Güler,360.8358333,19,Center Attacking Midfield,LaLiga,NA
143859,João Neves,84.00415,9,Right Defensive Midfield,Liga Portugal,NA
72512,Valentin Mihai Mihăilă,123.6130167,16,Left Midfield,Serie B,NA
10916,Nicolae Claudiu Stanciu,372.2501,15,Left Center Midfield,Saudi Pro League,NA
30913,Marius Mihai Marin,317.3718833,10,Center Defensive Midfield,Serie B,NA
16344,Răzvan Gabriel Marin,377.97965,13,Right Center Midfield,Serie A,NA
56905,Dennis Man,285.02925,12,Right Midfield,Serie B,NA
28565,Ianis Hagi,203.3661333,16,Left Midfield,LaLiga,NA
101821,Darius Dumitru Olaru,33.843,13,Right Center Midfield,Romania Superliga,NA
4286,Callum Styles,61.57236667,11,Left Defensive Midfield,Championship,NA
38909,Nicolò Fagioli,107.0391333,10,Center Defensive Midfield,Serie A,NA
34599,Florinel Teodor Coman,124.9925,16,Left Midfield,Romania Superliga,NA
15546,Matúš Bero,51.28535,15,Left Center Midfield,Bundesliga,NA
28239,Adam Hložek,118.0619333,20,Left Attacking Midfield,Bundesliga,NA
9085,Salih Özcan,171.7992833,9,Right Defensive Midfield,Bundesliga,NA
12555,Okay Yokuşlu,71.92736667,11,Left Defensive Midfield,Championship,NA
5660,Piotr Zieliński,263.6137833,15,Left Center Midfield,Serie A,NA
4664,Sebastian Szymański,115.69335,13,Right Center Midfield,Super Lig,NA
7982,Taras Wiktorowicz Romanczuk,55.77095,10,Center Defensive Midfield,Ekstraklasa,NA
29480,Jakub Moder,196.8895167,15,Left Center Midfield,Premier League,NA
15859,Bartosz Slisz,116.6321167,10,Center Defensive Midfield,Major League Soccer,NA
20841,Jakub Piotrowski,64.09786667,13,Right Center Midfield,Bulgaria First Professional League,NA
11000,Taras Stepanenko,88.4014,11,Left Defensive Midfield,Ukraine Premier League,NA
21294,Mykola Shaparenko,228.3874667,9,Right Defensive Midfield,Ukraine Premier League,NA
38975,Georgiy Sudakov,276.9034,19,Center Attacking Midfield,Ukraine Premier League,NA
8830,Andriy Yarmolenko,112.8872,12,Right Midfield,Ukraine Premier League,NA
144127,Volodymyr Brazhko,189.6418333,9,Right Defensive Midfield,Ukraine Premier League,NA
16557,Ruslan Malinovskiy,47.0003,11,Left Defensive Midfield,Serie A,NA
41202,Giorgi Kochorashvili,391.57285,15,Left Center Midfield,LaLiga 2,NA
23646,Giorgi Chakvetadze,255.6072,13,Right Center Midfield,Championship,NA
264017,Anzor Mekvabishvili,204.28665,10,Center Defensive Midfield,Romania Superliga,NA
135844,Sandro Altunashvili,64.1174,11,Left Defensive Midfield,Admiral Bundesliga,NA
11383,László Bénes,84.31798333,15,Left Center Midfield,2. Bundesliga,NA
8116,Václav Černý,59.96698333,18,Right Attacking Midfield,Bundesliga,NA
11335,Otar Kiteishvili,136.9266167,10,Center Defensive Midfield,Admiral Bundesliga,NA
12041,João Félix Sequeira,118.97055,20,Left Attacking Midfield,LaLiga,NA
5548,Steven Zuber,89.7179,20,Left Attacking Midfield,Greece Super League,NA
5538,Denis Lemi Zakaria Lako Lado,30.8834,18,Right Attacking Midfield,Ligue 1,NA
